identifier,title,year,publisher,subject,subcollection,pdf_file_id,pdf_filename,pdf_original_path,pdf_export_relpath,ocr_id,ocr_completed_date,ocr_export_relpath,metadata_export_relpath
cihm_38163,The British treaty [microform] : with an appendix of state papers; which are now first published,1808,"[London] : America, printed, unknown where, or by whom sold; London, re-printed for John Joseph Stockdale ...",,saskatchewan_1808_1946,3227,cihm_38163.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38163.pdf,,4082,2025-10-06 06:13:29.345744,ocr/cihm_38163.json,metadata/cihm_38163.json
P000045,Travels and adventures in Canada and the Indian territories between the years 1761 and 1776: In two parts,1809,Printed and published by I. Riley (New York),The People--Natives; Pro Pelle Cutem--North West Company; Indians of North America; Indiens d'Amérique--Amérique du Nord; North West Company; Saskatchewan--Description and travel; 1776,saskatchewan_1808_1946,3228,P000045.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/P000045.pdf,,4083,2025-10-06 06:13:29.388688,ocr/P000045.json,metadata/P000045.json
cihm_18748,The idler [microform],1810,London : Published by W. Suttaby ... Whittingham printer,,saskatchewan_1808_1946,3229,cihm_18748.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18748.pdf,,4084,2025-10-06 06:13:29.403182,ocr/cihm_18748.json,metadata/cihm_18748.json
cihm_18747,The idler [microform],1810,London : Published by W. Suttaby ... Whittingham printer,,saskatchewan_1808_1946,3230,cihm_18747.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18747.pdf,,4085,2025-10-06 06:13:29.433928,ocr/cihm_18747.json,metadata/cihm_18747.json
cihm_60816,"A view of the state of parties in the United States of America [microform] : being an attempt to account for the present ascendancy of the anti-English or Democratic Party in that country, in two letters to a friend",1812,"Edinburgh: Printed by James Ballantyne and Co. for John Ballantyne and Co., Edinburgh, and for Longman, Hurst, Rees, Orme, and Brown, London",Democratic Party (U.S.); Democratic Party (États-Unis),saskatchewan_1808_1946,3231,cihm_60816.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_60816.pdf,,4086,2025-10-06 06:13:29.480319,ocr/cihm_60816.json,metadata/cihm_60816.json
bp_2820,Map of the North-West Territory of the Province of Canada from actual survey during the years 1792 to 1812 .,1814,"David Thompson, [Canada]",Western Canada--Physical sciences,saskatchewan_1808_1946,3232,bp_2820.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/bp_2820.pdf,,4087,2025-10-06 06:13:29.480695,ocr/bp_2820.json,metadata/bp_2820.json
cihm_21045,A brief description of Nova Scotia with plates of the principal harbors [microform] : including a particular account of the Island of Grand Manan,1818,"London : Printed for the author by G. Hayden ..., and sold by Cadell and Davies ...",Harbors; Sea ice; Ports; Glace de mer,saskatchewan_1808_1946,3233,cihm_21045.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_21045.pdf,,4088,2025-10-06 06:13:29.491729,ocr/cihm_21045.json,metadata/cihm_21045.json
cihm_38281,Historical sketches of the missions of the United Brethren for propagating the gospel among the heathen [microform] : from their commencement to the present time,1818,"Dublin : Printed by R. Napper ... : and sold by Dugdale, Keene, Milliken, Archer, &c. also by Seely ... London; and Robertson ... Edinburgh",Moravian Church; Église morave; Missions; Missions,saskatchewan_1808_1946,3234,cihm_38281.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38281.pdf,,4089,2025-10-06 06:13:29.520393,ocr/cihm_38281.json,metadata/cihm_38281.json
cihm_38167,"Sketches of America [microform] : a narrative of a journey of five thousand miles through the eastern and western states of America ; contained in eight reports addressed to the thirty-nine English families by whom the author was deputed, in June 1817, to ascertain whether any, and what part of the United States would be suitable for their residence : with remarks on Mr. Birkbeck's ""Notes"" and ""Letters""",1818,"London : Printed for Longman, Hurst, Rees, Orme, and Brown ...",,saskatchewan_1808_1946,3235,cihm_38167.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38167.pdf,,4090,2025-10-06 06:13:29.597938,ocr/cihm_38167.json,metadata/cihm_38167.json
cihm_44290,"The history, civil and commercial of the British West Indies [microform]",1819,"London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin",,saskatchewan_1808_1946,3236,cihm_44290.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_44290.pdf,,4091,2025-10-06 06:13:29.632662,ocr/cihm_44290.json,metadata/cihm_44290.json
cihm_44287,"The history, civil and commercial of the British West Indies [microform]",1819,"London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin",,saskatchewan_1808_1946,3239,cihm_44287.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_44287.pdf,,4092,2025-10-06 06:13:29.648042,ocr/cihm_44287.json,metadata/cihm_44287.json
cihm_44288,"The history, civil and commercial of the British West Indies [microform]",1819,"London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin",,saskatchewan_1808_1946,3240,cihm_44288.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_44288.pdf,,4093,2025-10-06 06:13:29.655828,ocr/cihm_44288.json,metadata/cihm_44288.json
cihm_44289,"The history, civil and commercial of the British West Indies [microform]",1819,"London : Printed by T. Miller ... for G. and W.B. Whittaker ... [and 11 others]; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin",,saskatchewan_1808_1946,3241,cihm_44289.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_44289.pdf,,4094,2025-10-06 06:13:29.667101,ocr/cihm_44289.json,metadata/cihm_44289.json
cihm_44291,"The history, civil and commercial of the British West Indies [microform]",1819,"London : Printed by T. Miller ... for G. and W.B. Whittaker ... [11 others],; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin",,saskatchewan_1808_1946,3242,cihm_44291.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_44291.pdf,,4095,2025-10-06 06:13:29.673088,ocr/cihm_44291.json,metadata/cihm_44291.json
cihm_44292,"The history, civil and commercial of the British West Indies [microform]",1819,"London : Printed by T. Miller ... for G. and W.B. Whittaker ... [11 others],; Oliver and Boyd, Edinburgh; and Johnston and Deas, Dublin",,saskatchewan_1808_1946,3243,cihm_44292.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_44292.pdf,,4096,2025-10-06 06:13:29.679730,ocr/cihm_44292.json,metadata/cihm_44292.json
P000081,"Relation d'un voyage à la côte du nord-ouest de l'Amérique septentrionale, dans les années 1810, 11, 12, 13 et 14",1820,Imprimerie de C.B. Pasteur (Montreal),"Explorers, Surveyors and Travellers--Overland Journeys from the Pacific; Franchre, Gabriel, 1786-1863; Fur traders; Coureurs de bois; Prairie Provinces--Description and Travel; 1814",saskatchewan_1808_1946,3244,P000081.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/P000081.pdf,,4097,2025-10-06 06:13:29.682469,ocr/P000081.json,metadata/P000081.json
P000151,"Narrative of a journey to the shores of the polar sea in the years 1819, 20, 21, and 22: With an appendix on various subjects relating to science and natural history",1823,John Murray (London),"Explorers, Surveyors and Travellers--Overland Journeys to the Arctic; Explorers; Explorateurs; Franklin, John, 1786-1847; Natural history; Sciences naturelles; Northwest Passage--Description and travel; Saskatchewan--History; 1822",saskatchewan_1808_1946,3245,P000151.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/P000151.pdf,,4098,2025-10-06 06:13:29.692658,ocr/P000151.json,metadata/P000151.json
cihm_41974,Observations d'un catholique sur l'Histoire du Canada par l'Honorable William Smith [microforme],1827,[S.l. : s.n.],Église catholique; Catholic Church,saskatchewan_1808_1946,3247,cihm_41974.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_41974.pdf,,4099,2025-10-06 06:13:29.695508,ocr/cihm_41974.json,metadata/cihm_41974.json
cihm_52196,"Remarques publiées dans le Québec Mercury nos. 2, 3, 4, 5, 1827, en réponse à un article publié dans la Gazette de Québec de M. Neilson, du 28 décembre, 1826, intitulé ""Session prochaine du Parlement provincial du Bas-Canada"" [microforme] : relativement aux difficultés existantes dans la législature provinciale sur les matières de finances qui ont rapport au soutien du gouvernement civil de la province",1827,[Québec? : s.n.],"Finances publiques; Finance, Public",saskatchewan_1808_1946,3248,cihm_52196.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_52196.pdf,,4100,2025-10-06 06:13:29.701487,ocr/cihm_52196.json,metadata/cihm_52196.json
cihm_41970,"Copy of a letter from James Stuart, Esq. to the Right Hon. Lord Viscount Goderich [microform] : relating to animadversions and importations on his conduct and character in certain proceedings of the assembly of Lower Canada = Copie d'une lettre de James Stuart, Ecr. au Très-Honorable Lord Vicomte Goderich : au sujet des accusations et imputations contenues contre sa conduite et son caractere dans certains procédés de l'Assemblée du Bas-Canada",1831,[S.l. : s.n.],"Stuart, J. (James), 1780-1853; Stuart, J. (James), 1780-1853; Attorneys-general; Misconduct in office; Procureurs généraux; Prévarication",saskatchewan_1808_1946,3249,cihm_41970.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_41970.pdf,,4101,2025-10-06 06:13:29.705547,ocr/cihm_41970.json,metadata/cihm_41970.json
cihm_18733,"Divers documens adressés à l'Honorable Louis Joseph Papineau, orateur de la Chambre d'assemblée, par l'Honorable Denis B. Viger, nommé pour se rendre en Angleterre, et y appuyer les pétitions de la Chambre à Sa Majesté et aux deux Chambres du Parlement impérial [microforme] : mis devant la Chambre, et dont l'impression a été ordonnée mercredi, 8 janvier, 1834",1834,[S.l. : s.n.,,saskatchewan_1808_1946,3250,cihm_18733.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18733.pdf,,4102,2025-10-06 06:13:29.708716,ocr/cihm_18733.json,metadata/cihm_18733.json
cihm_41964,"Le Bougainville de la jeunesse ou Nouvel abrégé des voyages dans l'Amérique [microforme] : contenant la description des moeurs et coutumes des peuples de ce continent extraites des voyages de Bougainville, Cook, &'a",1839,Paris; Limoges [France] : M. Ardant,Indiens d'Amérique; Indians of North America,saskatchewan_1808_1946,3251,cihm_41964.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_41964.pdf,,4103,2025-10-06 06:13:29.711268,ocr/cihm_41964.json,metadata/cihm_41964.json
cihm_18742,"The letter-bag of the Great Western, or, Life in a steamer [microform]",1840,Philadelphia : Lea & Blanchard,,saskatchewan_1808_1946,3252,cihm_18742.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18742.pdf,,4104,2025-10-06 06:13:29.714184,ocr/cihm_18742.json,metadata/cihm_18742.json
cihm_41962,"An exploring tour beyond the Rocky Mountains in North America [microform] : under the direction of the American Board of Commissioners for Foreign Missions : performed in the years 1835, 1836, and 1837",1840,[Dublin? : s.n.],Overland journeys to the Pacific; Indians of North America; Voyages par terre jusqu'au Pacifique; Indiens d'Amérique,saskatchewan_1808_1946,3253,cihm_41962.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_41962.pdf,,4105,2025-10-06 06:13:29.723082,ocr/cihm_41962.json,metadata/cihm_41962.json
cihm_38161,"A dictionary, geographical, statistical and historical of the various countries, places, and principal natural objects in the world [microform]",1841,"London : Printed for Longman, Orme, Brown, Green, and Longmans",Geography; Géographie,saskatchewan_1808_1946,3254,cihm_38161.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38161.pdf,,4106,2025-10-06 06:13:29.817637,ocr/cihm_38161.json,metadata/cihm_38161.json
cihm_41972,"On the forthcoming union of the two Canadas [microform] : addressed to the Canadian public and their representatives, in the Honourable Legislature of United Canada",1841,[Montreal? : s.n.],,saskatchewan_1808_1946,3255,cihm_41972.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_41972.pdf,,4107,2025-10-06 06:13:29.834196,ocr/cihm_41972.json,metadata/cihm_41972.json
cihm_46695,The history of the navy of the United States of America [microform] : abridged in one volume,1841,"Philadelphia : Thomas, Cowperthwait",United States. Navy; États-Unis. Navy,saskatchewan_1808_1946,3256,cihm_46695.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_46695.pdf,,4108,2025-10-06 06:13:29.846757,ocr/cihm_46695.json,metadata/cihm_46695.json
cihm_50569,"Historical collections of the state of New York [microform] : containing a general collection of the most interesting facts, traditions, biographical sketches, anecdotes, &c. relating to its history and antiquities : with geographical descriptions of every township in the state",1841,"New York : Published for the authors, by S. Tuttle",,saskatchewan_1808_1946,3257,cihm_50569.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_50569.pdf,,4109,2025-10-06 06:13:29.875941,ocr/cihm_50569.json,metadata/cihm_50569.json
cihm_38162,"A dictionary, geographical, statistical and historical of the various countries, places, and principal natural objects in the world [microform]",1842,"London : Printed for Longman, Orme, Brown, Green, and Longmans",Geography; Géographie,saskatchewan_1808_1946,3258,cihm_38162.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38162.pdf,,4110,2025-10-06 06:13:29.983553,ocr/cihm_38162.json,metadata/cihm_38162.json
attachorsamslic01haligoog,"The Attaché; Or, Sam Slick in England.",1843,R. Bentley,sais; jist; arter; juicy; slick; agin; eend; afore; kinder; critter; juicy day; public domain; dooden dooden; juicy dat; google book; good deal; feel kinder; excellent gun; zippy dooden; sam slick,saskatchewan_1808_1946,3259,attachorsamslic01haligoog.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/attachorsamslic01haligoog.pdf,,4111,2025-10-06 06:13:30.027559,ocr/attachorsamslic01haligoog.json,metadata/attachorsamslic01haligoog.json
attachorsamslic02haligoog,"The attaché, or, Sam Slick in England. Vol. I",1843,London : R. Bentley,sais; jist; thb; arter; slick; afore; agin; critter; hante; kinder; juicy day; good deal; nova scotia; dooden dooden; thb black; public domain; sam slick; lord love; great deal; feel kinder,saskatchewan_1808_1946,3260,attachorsamslic02haligoog.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/attachorsamslic02haligoog.pdf,,4112,2025-10-06 06:13:30.034394,ocr/attachorsamslic02haligoog.json,metadata/attachorsamslic02haligoog.json
cihm_18756,"The attaché, or, Sam Slick in England [microform]",1843,London : R. Bentley,,saskatchewan_1808_1946,3261,cihm_18756.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18756.pdf,,4113,2025-10-06 06:13:30.039309,ocr/cihm_18756.json,metadata/cihm_18756.json
cihm_18757,"The attaché, or, Sam Slick in England [microform]",1843,London : R. Bentley,,saskatchewan_1808_1946,3262,cihm_18757.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18757.pdf,,4114,2025-10-06 06:13:30.042901,ocr/cihm_18757.json,metadata/cihm_18757.json
cihm_24494,"Discovery of New-England by the Northmen five hundred years before Columbus [microform] : with an introduction on the antiquities of America and on the first inhabitant of Central America : with important additions : a lecture, delivered in New York, Washington, Boston, and other cities; also in some of the first literary institutions of the Union",1844,[Boston? : s.n.],,saskatchewan_1808_1946,3263,cihm_24494.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_24494.pdf,,4115,2025-10-06 06:13:30.043547,ocr/cihm_24494.json,metadata/cihm_24494.json
cihm_38170,"Campaign against Quebec [microform] : being an accurate and interesting account of the hardships and sufferings of that band of heroes who traversed the wilderness by the route of the Kennebec and Chaudiere River to Quebec, in the year 1775",1844,"Watertown, N.Y. : Knowlton & Rice","Quebec Invasion, 1775-1776",saskatchewan_1808_1946,3264,cihm_38170.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38170.pdf,,4116,2025-10-06 06:13:30.052504,ocr/cihm_38170.json,metadata/cihm_38170.json
cihm_41971,"The travellers' hand book for the state of New-York and the province of Canada [microform] : containing brief accounts of the towns, their public buildings and other objects of interest, natural and artificial curiosities, historical memoranda, modes of conveyance, tables of distances by railroad, canal, stage and river routes in every direction: the whole arranged on a new plan by which every interesting object on the leading routes is brought into view, with maps, etc.",1844,New York : T.R. Tanner,,saskatchewan_1808_1946,3265,cihm_41971.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_41971.pdf,,4117,2025-10-06 06:13:30.057467,ocr/cihm_41971.json,metadata/cihm_41971.json
cihm_34334,"A system of the creation of our globe, of the planets, and the sun of our system [microform] : founded on the first chapter of Genesis, on the geology of the earth, and on the modern discoveries in that science, and the known operations of the law of nature, as evinced by the discoveries of Lavoisier and others in pneumatic chemistry",1845,[Toronto? : s.n.],Bible and science; Creation; Bible and geology; Bible et sciences; Création; Bible et géologie,saskatchewan_1808_1946,3266,cihm_34334.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_34334.pdf,,4118,2025-10-06 06:13:30.061052,ocr/cihm_34334.json,metadata/cihm_34334.json
cihm_47055,"The history of Oregon and California and the other territories on the North-west coast of North America [microform] : accompanied by a geographical view and map of those countries, and a number of documents as proofs and illustrations of the history",1845,New York : D. Appleton; Philadelphia : G.S. Appleton,"Oregon Question; Orégon, Question de l'",saskatchewan_1808_1946,3267,cihm_47055.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_47055.pdf,,4119,2025-10-06 06:13:30.076594,ocr/cihm_47055.json,metadata/cihm_47055.json
cihm_18736,"The life and voyages of Americus Vespucius [microform] : with illustrations concerning the navigator, and the discovery of the New World",1846,New York : Baker & Scribner,"Vespucci, Amerigo, 1451-1512; Vespucci, Amerigo, 1451-1512",saskatchewan_1808_1946,3269,cihm_18736.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18736.pdf,,4120,2025-10-06 06:13:30.091779,ocr/cihm_18736.json,metadata/cihm_18736.json
cihm_47558,"A journal of visitation to the western portion of his diocese [microform] : by the Lord Bishop of Toronto, in the autumn of 1842",1846,London : Printed for the Society for the Propagation of the Gospel,United Church of England and Ireland. Diocese of Toronto; United Church of England and Ireland. Diocese of Toronto,saskatchewan_1808_1946,3270,cihm_47558.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_47558.pdf,,4121,2025-10-06 06:13:30.093044,ocr/cihm_47558.json,metadata/cihm_47558.json
P000239,Sketches in North America and the Oregon Territory,1849,Dickinson & Co. ([London]?),"Explorers, Surveyors and Travellers--Overland Journeys to the Pacific; Drawing; Dessin; Picture books; Picture books; Livres d'images; Prairie Provinces--Description and travel; 1846",saskatchewan_1808_1946,3271,P000239.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/P000239.pdf,,4122,2025-10-06 06:13:30.093378,ocr/P000239.json,metadata/P000239.json
cihm_52193,Early moral and religious education [microform] : being a lecture delivered to the Mechanics' Institute and Library Association,1849,[Quebec? : s.n.],Moral education; Religious education; Éducation morale; Éducation religieuse,saskatchewan_1808_1946,3272,cihm_52193.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_52193.pdf,,4123,2025-10-06 06:13:30.093609,ocr/cihm_52193.json,metadata/cihm_52193.json
cihm_38150,"Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others [microform]",1850,London : H.G. Bohn,,saskatchewan_1808_1946,3273,cihm_38150.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38150.pdf,,4124,2025-10-06 06:13:30.108069,ocr/cihm_38150.json,metadata/cihm_38150.json
cihm_38151,The sketch book [microform],1850,London : H.G. Bohn,,saskatchewan_1808_1946,3274,cihm_38151.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38151.pdf,,4125,2025-10-06 06:13:30.130554,ocr/cihm_38151.json,metadata/cihm_38151.json
cihm_38152,"Bracebridge Hall, or, The humorists [microform] : a medley",1850,London : H.G. Bohn,,saskatchewan_1808_1946,3275,cihm_38152.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38152.pdf,,4126,2025-10-06 06:13:30.152405,ocr/cihm_38152.json,metadata/cihm_38152.json
cihm_38153,The Alhambra [microform],1850,London : H.G. Bohn,,saskatchewan_1808_1946,3276,cihm_38153.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38153.pdf,,4127,2025-10-06 06:13:30.173614,ocr/cihm_38153.json,metadata/cihm_38153.json
